code  pref  gender  total 0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-
010006	北海道	計	5463045	196984	210418	228693	246305	248985	274764	308636	370430	390140	351678	348004	360317	462914	393103	342216	292879	433780
020001	青森県	計	1367858	47090	52486	61950	67165	57156	62617	72808	84778	90398	86711	91400	99022	117387	96800	84020	79862	115606
030007	岩手県	計	1311367	47558	52562	59663	62754	55743	60510	69908	81898	83281	79109	84252	92478	108034	88382	81394	78350	125156
040002	宮城県	計	2329439	94603	99519	107638	112045	117730	134407	149876	166627	167307	146092	145122	155090	181674	144971	124904	109895	171492
050008	秋田県	計	1070226	33415	38494	43523	47995	40471	44800	53274	63394	63868	61166	70041	80170	95924	77128	69383	70803	115968
060003	山形県	計	1151318	42673	47166	52493	55545	49491	54148	61791	69985	69555	66113	72930	81054	96523	76321	67695	67488	119458
070009	福島県	計	1976096	72474	81903	94707	101563	92764	99336	108453	123899	125359	118150	128489	141762	164407	127401	112971	103511	177895
080004	茨城県	計	2993638	118431	128959	140832	146642	150595	164437	179446	207559	222497	191108	180232	195198	237710	208747	179728	136233	205281
090000	栃木県	計	2010272	81681	88279	93960	95703	97288	110998	123352	142553	149714	127909	122796	134266	161604	136925	112628	89375	141171
100005	群馬県	計	2019687	79673	88458	97194	101435	99679	103314	114969	139673	151563	130329	118566	126043	156297	143079	121131	95118	153059
110001	埼玉県	計	7288848	301531	316115	333501	349804	370631	412605	464080	555060	621351	519384	435401	423108	532084	513289	454596	319286	366981
120006	千葉県	計	6247860	254188	269037	282530	290425	308747	355939	394836	467492	522729	437995	372195	363952	458564	444821	388492	283285	352464
130001	東京都	計	1.3202037E7	536567	504169	508966	532192	701157	925840	1021394	1106216	1171329	1015483	820064	703449	810007	787098	706042	570379	781420
140007	神奈川県	計	9100606	385291	392617	410432	419288	452327	531012	600083	710092	801745	697340	566877	501371	610909	590855	528237	396000	506033
150002	新潟県	計	2354872	88785	95049	104911	113866	107847	115508	129142	152972	156383	143779	141938	157365	192880	161420	141149	128657	222991
160008	富山県	計	1091612	40557	45441	50321	51050	48275	52381	58611	74764	81034	66659	62859	65863	85026	84814	69382	56799	97767
170003	石川県	計	1163380	48198	51345	55428	58593	58664	59171	65393	81515	86580	72195	67947	70800	86557	85627	68922	54080	92284
180009	福井県	計	808229	34490	36316	39088	41138	39550	41632	44889	52662	55234	48878	49525	50770	62302	53537	46433	40465	71211
190004	山梨県	計	861615	32721	36229	40565	45318	43904	42401	45751	54569	61472	57675	54236	55475	65224	57435	51931	42286	74312
200000	長野県	計	2160814	85717	95185	103869	106635	96147	101408	114588	143530	153170	135516	128641	132309	160529	150242	132998	112388	207211
210005	岐阜県	計	2098176	86174	93358	103078	105842	103092	108736	117034	140880	153360	132905	124982	126261	158574	149492	129450	105294	159599
220001	静岡県	計	3803481	158431	167336	177251	180763	176592	202332	221910	260726	284323	247982	229409	234736	289637	266820	235205	187372	282567
230006	愛知県	計	7478606	345671	350603	365728	371076	392018	454575	489651	565864	619433	517893	441969	405634	497355	490727	427841	323224	419288
240001	三重県	計	1868860	77072	82044	89094	92688	91279	98751	105474	127152	138473	120514	113599	112307	137249	130243	113522	94270	144904
250007	滋賀県	計	1421779	68089	69946	73513	73315	74761	81436	89242	104793	109663	91078	84037	83451	100365	90925	75384	58973	92787
260002	京都府	計	2585904	103456	109696	116903	122557	134651	143144	152856	183762	200385	169583	149149	143354	189179	188925	162437	127836	187988
270008	大阪府	計	8878694	367710	379861	413097	426738	446956	509212	548440	655028	745678	625314	518369	473709	619538	626477	570027	428638	523875
280003	兵庫県	計	5655361	238024	249615	269448	277042	278305	302979	329914	399175	444600	380280	341340	330379	412977	396553	341285	271163	392255
290009	奈良県	計	1403034	54011	59199	65411	71183	70545	71340	75221	91971	103470	92268	84461	85258	109078	105470	92938	70049	100987
300004	和歌山県	計	1012236	37534	40317	46374	49684	47123	49110	51482	62352	70313	63433	62300	63646	79182	74398	66343	56178	92123
310000	鳥取県	計	587067	24114	25318	27178	28392	27065	28885	33108	37555	37512	33281	35340	39713	47064	40348	33189	31054	57542
320005	島根県	計	711364	28324	29693	32115	33702	30707	32330	36807	43198	43196	38440	41661	46474	58129	51406	42393	42333	80310
330001	岡山県	計	1945208	82908	86383	92719	95722	96635	104798	111134	132036	139594	114623	108932	115363	142824	140157	116344	98024	166882
340006	広島県	計	2876300	126667	128035	133842	138696	141759	154579	167721	201434	216471	178760	165126	169882	214739	206311	170985	138031	223239
350001	山口県	計	1443146	55743	59020	64197	67076	63477	67095	74261	90023	96514	81699	80944	90694	121637	111823	96996	83182	138685
360007	徳島県	計	782342	28984	30753	34452	36161	35317	38345	43016	49772	51666	45996	46603	53073	65157	57274	47376	42949	75220
370002	香川県	計	1010028	41595	44169	47499	47308	45830	51008	56760	69492	72047	59425	56962	62437	79124	75025	59250	51485	90578
380008	愛媛県	計	1436527	56361	59234	65034	68791	63812	68836	77275	92727	96815	85692	85485	92865	117261	106157	87760	77503	134706
390003	高知県	計	754275	26783	29291	32630	35142	31163	33251	38513	47886	49809	42344	45117	48937	61948	58945	48667	42663	80734
400009	福岡県	計	5118813	232558	230731	236591	247520	266876	297796	328804	365415	371045	314609	299303	315662	394756	337436	284651	233665	361212
410004	佐賀県	計	852285	37852	39724	43103	44848	41225	44367	48339	53491	52971	49280	52259	57726	68859	54181	47123	42501	74295
420000	長崎県	計	1424533	58919	61367	67286	71363	62898	67522	74466	85007	89951	84379	90315	100251	119937	96842	84333	77657	131840
430005	熊本県	計	1825686	80876	81840	85915	89612	84143	94373	103159	113599	112655	106839	112470	124412	144710	119285	102691	97505	171036
440001	大分県	計	1197854	49162	50785	53490	57208	55434	59297	66248	76562	77040	67712	70051	78898	97735	86438	72961	65885	112915
450006	宮崎県	計	1142486	50431	51499	54563	57371	48916	54857	62746	71385	70034	63950	70353	80273	94198	78336	66171	62197	104969
460001	鹿児島県	計	1703126	75163	76393	79977	82881	71927	83480	94429	101849	100440	97458	107287	124240	138343	108747	97384	93053	169281
470007	沖縄県	計	1448358	85648	83849	84758	84981	78304	88036	93795	104476	104836	90804	91200	95109	101193	63856	60611	55631	80961
