団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～84	85～89	90～94	95～99	100～
010006	北海道	男	2552868	97142	105649	112299	121547	122177	128145	145798	169305	197014	172387	168473	167169	194991	211467	149489	123333	94937	50614	16628	3257	411
020001	青森県	男	633903	23112	25429	29484	32503	28894	28891	34856	40223	45215	42352	43733	45872	51899	54239	36131	30761	24071	11942	3534	588	58
030007	岩手県	男	619365	23326	26140	28861	31132	27588	28635	33887	39447	43820	39534	41495	44111	49967	50575	34798	31408	25198	14071	4356	831	89
040002	宮城県	男	1133790	47523	50650	53198	57080	59286	64093	73024	81145	88210	76467	72545	73881	82363	84949	57888	47520	36052	19993	6487	1231	132
050008	秋田県	男	491630	16058	18838	20773	22987	20098	20540	25535	30857	32692	29645	32473	36991	42746	44858	29459	27025	22572	12843	3808	687	85
060003	山形県	男	543352	20724	23496	25638	27270	24582	25522	29951	34605	35944	32531	34764	38339	43898	45879	30749	27413	22839	13770	4428	833	78
070009	福島県	男	956881	36646	40226	45704	50421	48309	49297	55087	61416	66949	59668	63107	68800	76892	77189	51504	43074	34268	20059	6686	1252	127
080004	茨城県	男	1485898	58604	65127	69406	74560	78360	82547	90370	100982	117578	103184	93333	93228	107852	117566	88121	67519	43997	24198	7794	1395	176
090000	栃木県	男	995916	40765	44633	46778	48720	49927	55787	62616	69811	80096	68140	63003	64305	73675	80083	54552	41325	29067	16246	5376	885	113
100005	群馬県	男	991916	39039	44246	47991	51392	52462	52245	57025	66748	79005	69301	62762	60408	69408	80054	58222	44043	31707	18547	5970	1159	155
110001	埼玉県	男	3670697	151681	162308	167040	177911	193778	203924	231133	266615	325680	287730	244727	211049	232088	276000	217961	163860	98797	43101	12610	2414	264
120006	千葉県	男	3130062	126965	136904	141645	149956	164242	175944	197813	222783	270264	242112	206638	180451	198876	239212	186983	142154	90287	41612	12456	2384	335
130001	東京都	男	6621602	281117	267347	257902	277321	371126	459881	516460	545131	597013	547182	470224	371402	360621	423766	319467	250472	180549	88767	29426	5631	742
140007	神奈川県	男	4567791	193433	201252	204634	217497	239044	262391	297320	338466	405265	383795	327453	262046	266108	316848	248346	192666	126854	60981	19211	3685	473
150002	新潟県	男	1124655	43597	47913	50983	56471	54153	55531	63031	73485	81243	73251	71507	74960	86171	94483	64081	55104	43159	25186	8357	1749	195
160008	富山県	男	522147	20122	22493	24881	26080	25104	25918	28922	34626	42804	35380	31972	31050	35761	46070	32539	24285	18837	10792	3622	784	95
170003	石川県	男	559643	23966	25642	27337	30163	31171	29100	31925	37537	45525	37481	34202	33378	36690	47141	32658	23634	17733	9956	3537	772	82
180009	福井県	男	387346	16697	18395	19289	20516	20103	20151	21766	25034	28730	24489	24534	24576	27132	31155	21897	16939	14060	8510	2756	546	58
190004	山梨県	男	416151	16038	17869	19988	22735	22312	20681	22721	25627	30961	29454	28346	26828	29593	32463	24008	19284	14450	8853	3134	683	75
200000	長野県	男	1042002	42222	47253	51235	53881	49157	49680	55346	67186	79473	70847	66184	64096	70684	82693	63453	50918	40330	25795	9394	1763	206
210005	岐阜県	男	1009535	42491	46990	50306	54004	51200	51714	56820	65600	78404	68195	63961	60317	67174	82034	60440	48190	34932	19371	6073	1154	147
220001	静岡県	男	1861080	77753	84209	88544	92116	90570	98851	111108	123806	146747	131006	120472	115009	127476	146724	110959	87512	61485	33414	10988	2041	261
230006	愛知県	男	3762016	173663	180326	182336	192828	207172	232575	251475	272628	324176	283415	245210	207041	213630	262592	204973	157569	102615	49974	14862	2604	315
240001	三重県	男	903162	37844	41296	43790	47174	45803	48615	52455	59196	71461	62037	58733	54273	59097	70418	53121	42562	31467	17650	5138	880	114
250007	滋賀県	男	699781	34010	36023	36883	38108	37803	39657	43561	49214	57311	48044	43592	40344	44028	51219	36918	27717	20102	11227	3364	593	55
260002	京都府	男	1235170	51871	55776	57812	62894	68333	67546	72226	83351	100402	87386	78103	69507	75659	100278	75064	57680	41617	21375	6775	1310	183
270008	大阪府	男	4288494	183547	192401	203102	220328	228603	243016	263996	294347	367715	330598	282454	234163	254841	324943	258238	200515	128023	57575	16775	2964	338
280003	兵庫県	男	2697830	117984	126701	132531	141999	139181	142715	156749	177549	219175	195232	175854	158272	173728	211143	158544	121645	87123	44783	14068	2531	314
290009	奈良県	男	660270	26552	29616	32238	35876	34233	32260	35091	40410	50095	45285	42487	39619	45202	55151	43020	33849	22874	11841	3816	625	74
300004	和歌山県	男	470673	18481	20196	22263	24642	23376	23152	24757	27953	34732	30634	30213	30237	33539	39874	29674	24058	18313	10504	3265	575	67
310000	鳥取県	男	276664	11983	12761	13365	14225	13381	13634	16100	18168	19760	16354	16901	18549	21475	22873	15189	12521	10346	6279	2285	419	60
320005	島根県	男	335287	14422	15106	15766	16692	15348	15521	17927	20892	23096	19401	19780	22309	25850	30046	19246	16383	14884	8647	3174	675	89
330001	岡山県	男	932161	41555	44426	45967	49093	48467	49800	54455	60888	72704	59666	54958	55459	61372	74853	55786	42338	33703	18935	6340	1179	174
340006	広島県	男	1386430	62738	65878	66941	70359	72732	76163	82547	92518	111821	93718	84135	81444	91178	111192	81679	60943	44478	24926	8840	1956	239
350001	山口県	男	672956	27455	29635	31452	33660	32101	31738	35841	41164	49917	41389	39062	41702	50512	61098	43315	34508	27061	15143	5052	1013	133
360007	徳島県	男	367282	14613	15485	16778	17737	17442	18028	20725	23197	26072	22732	22370	24240	28923	33227	21436	17880	14734	8279	2733	532	62
370002	香川県	男	483791	20788	22204	23515	24446	23396	24806	27466	32232	37905	30938	28399	29620	33504	41935	27659	22051	17912	10532	3641	703	111
380008	愛媛県	男	670901	27734	29909	31955	34418	31762	32230	36804	42616	49836	41841	41736	43265	49406	58277	39584	32423	25556	15148	5188	1061	117
390003	高知県	男	348866	13131	14671	15744	17633	15730	15057	18421	21873	25616	20903	21775	22740	26294	32290	21897	17399	14786	8945	3129	625	67
400009	福岡県	男	2433567	117823	120799	118530	124967	132360	136201	156565	171936	190183	160591	146409	147917	168917	187457	126293	100004	72090	38586	13116	2458	303
410004	佐賀県	男	399230	18811	20255	20986	22439	20259	19912	23141	25638	27041	23890	24564	26600	31001	31692	20153	17439	13959	8019	2845	518	44
420000	長崎県	男	661019	29395	30940	32677	34992	30503	31598	35715	39276	44741	40441	42107	46502	53913	55639	35454	31771	25415	14011	4865	887	112
430005	熊本県	男	855394	40832	42114	42776	44654	40542	42332	49965	54180	57485	50516	52896	57559	65722	68240	44855	39860	33074	19449	6691	1314	159
440001	大分県	男	561742	24417	25989	26507	28327	27541	28110	31757	36589	39584	33516	32992	36154	42562	47695	32656	27047	22210	12814	4261	896	86
450006	宮崎県	男	533096	24697	26574	26874	28143	24130	24473	29473	33599	35933	30681	32451	36742	42411	44537	29109	25555	21201	11909	3691	785	93
460001	鹿児島県	男	790125	37426	39516	39842	40048	33339	36353	44231	48044	50475	45613	49515	57479	65944	64241	42066	38025	31728	18421	6326	1288	141
470007	沖縄県	男	720548	43288	43701	42928	43023	39794	41521	46280	49637	54967	47617	45439	46890	50396	42512	26202	25324	18245	8883	2888	751	124
